id,english,thai,context,all_ids
338944,"Goddammit, just  hold out til dawn.",ให้ตายเถอะ แค่อดทนไว้จนถึงรุ่งสาง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338944
338945,"Okay, we can not lose this hill. It just can't happen. We gotta hold the line or all hell's gonna break loose.",โอเค เราจะเสียเนินเขาลูกนี้ไปไม่ได้เด็ดขาด มันต้องไม่เกิดขึ้น เราต้องรักษาแนวรบไว้ ไม่งั้นนรกแตกแน่,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338945
338950,We've lost the hill!  We gotta get it back! ,เราเสียเนินเขาไปแล้ว! เราต้องไปยึดมันกลับคืนมาให้ได้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338950
338960,"Okay, it's pretty simple. We gotta hold hill 317 'til oh six thirty",เอาล่ะ มันง่ายๆ แค่นี้ เราต้องตรึงเนิน 317 ไว้จนถึง 06:30 น.,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338960
338961,"And that's all. Dog Company will be here with armor and, hopefully, coffee at oh-six-thirty. ",และนั่นคือทั้งหมด กองร้อยด็อก จะมาถึงพร้อมยานเกราะ และหวังว่าจะมีกาแฟติดมือมาด้วยตอน 06:30 น.,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338961
338962,We need to set up a defensive perimeter. ,เราต้องจัดตั้งแนวป้องกันรอบนอก,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338962
338963,"Dog company put some emplacements in, but nobody's manning those positions now. Let's get some squads out there. ",กองร้อยด็อกได้สร้างป้อมปืนไว้บางจุด แต่ตอนนี้ไม่มีใครประจำการอยู่เลย ส่งคนออกไปประจำตำแหน่งพวกนั้นซะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338963
338964,"Once our perimeter is established, we need to fortify the town of Mortain.",เมื่อวางแนวป้องกันเสร็จแล้ว เราต้องเสริมการป้องกันในเมืองมอร์แต็ง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338964
338970,Stand to!  Stand to!  The hill's under attack!,เข้าประจำสถานีรบ! ประจำสถานีรบ! เนินเขากำลังถูกโจมตี!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338970
338971,Our whole damn perimeter is vulnerable.,แนวป้องกันรอบทิศทางของเรามันเปราะบางเกินไปแล้ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338971
338972,We've gotta reinforce the line now. Get some MG nests and barbed wire on those approaches.,เราต้องเสริมแนวรบเดี๋ยวนี้ วางรังปืนกลและขึงลวดหนามตามเส้นทางเข้าสู่เนิน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338972
338980,They're at Mortain! Krauts are attacking the town!,พวกมันบุกถึงมอร์แต็งแล้ว! พวกเยอรมันกำลังโจมตีเมือง!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338980
338981,Krauts are trying to take Mortain. We gotta push them back. ,พวกเยอรมันกำลังพยายามยึดเมืองมอร์แต็ง เราต้องผลักดันพวกมันกลับไป,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338981
338990,Krauts are in the wire! They're hitting our HQ!,พวกเยอรมันฝ่าลวดหนามเข้ามาแล้ว! พวกมันกำลังเข้าตี บก. ของเรา!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338990
338991,They've taken out our headquarters! We are losing!,พวกมันทำลายกองบัญชาการของเราแล้ว! เรากำลังจะแพ้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338991
339020,Hold Hill 317,ตรึงกำลังรักษาเนิน 317,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339020
339021,Defend Town of Mortain,ป้องกันเมืองมอร์แต็ง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339021|339052
339022,3 hours later...,3 ชั่วโมงต่อมา...,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339022
339023,HQ established,ก่อตั้งกองบัญชาการแล้ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339023
339024,Hill 317 lost! Recapture the Hill at any cost.,สูญเสียเนิน 317 แล้ว! จงยึดเนินเขากลับคืนมาไม่ว่าจะแลกด้วยอะไรก็ตาม,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339024
339025,Dawn is approaching,รุ่งอรุณกำลังใกล้เข้ามา,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339025
339026,Axis forces are retreating!,กองกำลังฝ่ายอักษะกำลังล่าถอย!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339026
339030,Establish a defensive perimeter around Hill 317 and hold the Hill until relieved. Send out sentries to the indicated positions and fortify the Hill.,จัดตั้งแนวป้องกันรอบเนิน 317 และตรึงเนินไว้จนกว่ากำลังเสริมจะมาผลัดเปลี่ยน ส่งทหารยามไปยังตำแหน่งที่กำหนดและเสริมแนวป้องกันบนเนิน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339030
339031,Rescue Ambushed Rangers,ช่วยเหลือหน่วยเรนเจอร์ที่ถูกซุ่มโจมตี,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339031
339032,A squad of rangers is pinned down in the Abbey Blanche. Rescue them before they are killed!,หมู่ทหารเรนเจอร์กำลังถูกยิงตรึงกำลังอยู่ในอารามบลังช์ จงไปช่วยพวกเขาก่อนที่จะถูกสังหาร!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339032
339041,2nd SS Panzer Division,กองพลยานเกราะเอสเอสที่ 2,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339041|349461
339042,Unknown,ไม่ทราบ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339042|349462|359042
339051,Attack on Hill 317,การเข้าตีเนิน 317,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339051
339055,Hill 317 Lost,สูญเสียเนิน 317 แล้ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339055
339056,15 Minutes Remaining,เหลือเวลาอีก 15 นาที,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339056
339500,Incoming Artillery!,ปืนใหญ่กำลังถล่มเข้ามา!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339500|1369164|1379137|1449103|1469905
339510,Enemy Panzers Spotted!,พบรถถังแพนเซอร์ข้าศึก!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339510
339511,Enemy Infantry Spotted!,พบทหารราบข้าศึก!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339511
339912,Howitzer Ready.,ปืนใหญ่วิถีโค้ง พร้อมใช้งาน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339912
339913,Reinforce This Area!,ส่งกำลังเสริมมาที่พื้นที่นี้ด่วน!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339913
339931,Rescue the Ranger Patrol,ช่วยเหลือหน่วยลาดตระเวนเรนเจอร์,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339931
339932,"A squad of Rangers is pinned down in the Abbey Blanche, rescue them before they are killed!",หมู่ทหารเรนเจอร์กำลังถูกยิงตรึงกำลังอยู่ในอารามบลังช์ ช่วยพวกเขาก่อนที่จะถูกสังหาร!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339932
339933,Mission Failed: Hill 317 is Lost,ภารกิจล้มเหลว: สูญเสียเนิน 317,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339933
339934,Failed to hold Strategic Point on Hill 317,ล้มเหลวในการรักษาจุดยุทธศาสตร์บนเนิน 317,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339934
339940,"NIS13_01 ""Able relieves Dog""",NIS13_01 “กองร้อยเอเบิลไปปลดกองร้อยด็อก”,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339940
339941,"NIS13_02 ""Flares""","NIS13_02 ""พลุ""",บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339941
339943,Don't let the Axis capture the central point in Mortain.,อย่าปล่อยให้ฝ่ายอักษะยึดจุดศูนย์กลางในเมืองมอร์แต็งได้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339943
339982,Recapture Mortain!,ยึดเมืองมอร์แต็งกลับคืนมา!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,339982
340001,This is Echo-Bravo five-six-five.,นี่คือเอคโค-บราโว ห้าหกห้า,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340001
340002,"Target acquired, I’m starting my run, over.",พบเป้าหมายแล้ว กำลังเริ่มโฉบเข้าโจมตี เปลี่ยน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340002
340100,"Okay, now we got reinforcements, we're gonna push those krauts off our damn hill.",โอเค ตอนนี้เราได้กำลังเสริมแล้ว เราจะขับไล่พวกเยอรมันออกไปจากเนินเวรนี่ให้หมด,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340100
340110,"If we can capture and hold these strategic points, those panzers won't have no choice but to retreat. ",ถ้าเราสามารถยึดและรักษาจุดยุทธศาสตร์เหล่านี้ไว้ได้ รถถังแพนเซอร์พวกนั้นก็ไม่มีทางเลือกอื่นนอกจากต้องถอยร่นไป,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340110
340121,"Okay, 'nough talking. Let's get to work.  ",โอเค เลิกพูดมากได้แล้ว ลงมือทำงานกันเถอะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340121
340200,Those 88's are pounding us into hamburger. Knocking 'em out would make this day go a hell of a lot smoother. ,ปืน 88 พวกนั้นกำลังถล่มเราจนเละเป็นเนื้อสับ ถ้าทำลายมันได้ วันนี้คงง่ายขึ้นเยอะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340200
340211,"OK,listen up: a carton o' smokes for whoever puts the kebosh to those damn 88s",โอเค ฟังนะ: บุหรี่หนึ่งคอตตอนสำหรับใครก็ตามที่ถล่มทำลายปืนใหญ่ 88 มม. พวกนั้นให้สิ้นซาก!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340211
340400,Gotta minefield here!  Get a Sherman crab to clear this up. ,มีดงกับระเบิดตรงนี้! ส่งรถถังเชอร์แมน แครบ มาเคลียร์ทางเร็ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340400
340410,We stumbled on a minefield. Where's our Sherman crab? ,เราเจอดงทุ่นระเบิดเข้าแล้ว รถถังเชอร์แมน แครบ ของเราอยู่ที่ไหน?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340410
340420,Enemy minefield. Can we get this cleared? ,ดงทุ่นระเบิดข้าศึก ช่วยเคลียร์ทางตรงนี้ทีได้ไหม?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340420
340600,"Able, this is Dog Company.  How was that R&R?  You guys all rested up?",เอเบิล นี่กองร้อยด็อก ได้พักผ่อนฟื้นฟูกำลังเป็นไงบ้าง? หายเหนื่อยกันรึยัง?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340600
340601,I'll bet you loved it up on that hill huh?,พนันได้เลยว่าพวกนายคงชอบบรรยากาศบนเนินเขานั่นใช่ไหมล่ะ?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340601
340602,I hope you kept our hill in good shape,หวังว่าพวกนายจะดูแลเนินเขาของเราให้อยู่ในสภาพเรียบร้อยดีนะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340602
340603,I hope you took care of our hill.,หวังว่าพวกนายจะช่วยเฝ้าเนินของเราไว้ให้อย่างดีนะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340603
340604,"Dog, just get that fucking armor into position.  Those krauts aren't gonna wait for you.",กองร้อยด็อก นำยานเกราะเข้าประจำตำแหน่งเดี๋ยวนี้! พวกไอ้เยอรมันมันไม่รอพวกแกหรอกเว้ย,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340604
340700,Krauts are probing 'round the Abbey. Let's lock it down.,พวกเยอรมันกำลังหยั่งเชิงอยู่แถวอาราม ไปตรึงพื้นที่ตรงนั้นไว้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340700
340710,We're taking fire at the fields to the northeast. We gotta rally some defense.,เรากำลังถูกยิงตรงทุ่งนาทางตะวันออกเฉียงเหนือ เราต้องรวบรวมกำลังตั้งรับด่วน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340710
340720,Fritz is trying to take our hill. Let's push them back. ,พวกเยอรมันกำลังพยายามแย่งเนินเขาของเรา ผลักดันพวกมันกลับไป!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340720
340730,Krauts are hitting Mortain. We gotta hold that town. ,Krauts กำลังโจมตี มอร์แต็ง เราต้องยึดเมืองนั้นไว้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340730
340740,Enemy action at the farmhouse. Farmhouse is under attack. ,การกระทำของศัตรูที่บ้านไร่ บ้านไร่อยู่ภายใต้การโจมตี,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340740
340751,Captain Shultz survived the destruction of the Panzer Lehr division.  ,กัปตันชูลทซ์รอดชีวิตจากการถูกทำลายของกองยานเกราะเลห์,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340751
340753,Battle reports show his Tigergroupen has knocked out 17 allied tanks and destroyed Baker Company.,รายงานการรบแสดงให้เห็นว่า Tigergroupen ของเขาได้ทำลายรถถังพันธมิตร 17 คันและทำลาย Baker Company,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340753
340754,"With those Tigers in position, we can’t cut off the German retreat.",เมื่อรถถังไทเกอร์เข้าประจำตำแหน่ง เราจะตัดการล่าถอยของเยอรมันไม่ได้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340754
340755,He must be removed.,ต้องกำจัดเขาให้ได้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,340755
349041,7th Army Regiment,กรมทหารกองทัพที่ 7,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349041
349420,Capture and hold 3 Victory Points,ยึดครอง 3 Victory Points,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349420
349425,Destroy Flak 88 Batteries,ทำลายแบตเตอรี่ Flak 88,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349425
349428,Win with more than 250 Points,ชนะด้วยคะแนนมากกว่า 250 คะแนน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349428
349430,Able's orders are to push the Panzer formations out of Mortain. Capture and hold the indicated Victory Points surrounding Hill 317 to secure Mortain.,คำสั่งของเอเบิลคือผลักดันขบวนยานแพนเซอร์ออกจากมอร์แต็ง ยึดและตรึงจุดชัยชนะ ที่ระบุรอบเนิน 317 เพื่อรักษาเมืองมอร์แต็ง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349430
349440,The Axis have set up a number of 88 batteries. Destroy them all.,ฝ่ายอักษะติดตั้งฐานปืน 88 ไว้หลายแห่ง ทำลายมันให้หมด,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349440
349441,The Allies Victory Points cannot fall below 250 to win a decisive victory.,คะแนนชัยชนะของฝ่ายสัมพันธมิตรจะต้องไม่ต่ำกว่า 250 เพื่อคว้าชัยชนะอย่างเด็ดขาด,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349441
349529,2nd Panzer Division Base Destroyed.,ฐานทัพกองพลยานเกราะที่ 2 ถูกทำลาย,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349529
349530,3rd Panzer Division Base Destroyed.,ฐานทัพยานเกราะที่ 3 ถูกทำลาย,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349530
349550,Failed to hold enough Victory points,ไม่สามารถเก็บคะแนนชัยชนะได้เพียงพอ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349550
349647,Destroy the 88's here.,ทำลาย 88 ที่นี่,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349647
349650,Capture and hold this point!,ยึดจุดนี้ไว้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349650
349671,1st Axis Base Destroyed,ทำลายฐานฝ่ายอักษะที่ 1 แล้ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349671
349672,2nd Axis Base Destroyed,ทำลายฐานฝ่ายอักษะที่ 2 แล้ว,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349672
349673,Axis Under 300 Points,ฝ่ายอักษะเหลือต่ำกว่า 300 คะแนน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349673
349674,Axis Under 200 Points,ฝ่ายอักษะเหลือต่ำกว่า 200 คะแนน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349674
349675,Axis Under 100 Points,ฝ่ายอักษะเหลือต่ำกว่า 100 คะแนน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,349675
350002,Columns of vehicles from the 2nd Panzer Division are escaping through this town.,ขบวนพาหนะจากกองพลยานเกราะที่ 2 กำลังหลบหนีผ่านเมืองนี้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350002
350010,Baker Company's last report was that they were engaging Shultz' Tigergruppen. This means the Tiger Ace is defending the town. ,รายงานล่าสุดของ Baker Company คือพวกเขาติดต่อกับ Tigergruppen ของ ชูลทซ์ ซึ่งหมายความว่า ไทเกอร์ เอซ กำลังปกป้องเมือง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350010
350011,We need to take him out.,เราต้องพาเขาออกไป,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350011
350020,It won't be easy to get a kill shot - he most likely has Heavy Panzer support. ,การยิงสังหารไม่ใช่เรื่องง่าย - เขาน่าจะได้รับการสนับสนุนจาก Heavy Panzer,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350020
350030,"Now if we can take down Shultz, the krauts will be finished here. ",ตอนนี้ถ้าเราสามารถโค่น ชูลทซ์ ได้ krauts ก็จะเสร็จสิ้นที่นี่,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350030
350050,Tiger! Take cover! ,รถถังไทเกอร์! เข้าที่กำบังเร็ว!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350050
350070,We gotta flank him!,เราต้องขนาบข้างเขา!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350070
350150,Our Allied air support is useless with those flak panzers around,การสนับสนุนทางอากาศของฝ่ายสัมพันธมิตรไม่มีประโยชน์อะไรกับยานเกราะสะเก็ดระเบิดที่อยู่รอบๆ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350150
350160,We need to take them out,เราจำเป็นต้องพาพวกเขาออกไป,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350160
350181,"Alright, second squad, take the left flank.  Keep your eyes open.",เอาล่ะ หน่วยที่สอง ไปทางปีกซ้าย เปิดตาของคุณไว้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350181
350182,"First squad, on me.",ทีมแรกกับฉัน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350182
350183,"Hey guys, wasn't this Schultz the one who killed the Captain?",เฮ้ทุกคน นี่ชูลทซ์ไม่ใช่คนที่ฆ่ากัปตันไม่ใช่เหรอ?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350183
350184,"Yeah, didn't he almost kill you too, Lieutenant?",ใช่ เขาไม่ได้เกือบจะฆ่าคุณเหมือนกัน ผู้หมวดเหรอ?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350184
350185,"Shut the fuck up, Cunningham.",หุบปากไปเลย คันนิงแฮม,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350185
350186,"Shutting up, sir.",ปิดเทอมแล้วนาย,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350186
350187,"Alright, there's nothing to see here.  We're moving out.",เอาล่ะ ไม่มีอะไรให้ดูที่นี่ เรากำลังเคลื่อนพล,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350187
350189,That guy was one tough kraut.,ทหารคนนั้นเป็นคนที่แข็งแกร่งคนหนึ่ง,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350189
350190,"The 300,000 strong German Seventh Army is in full retreat.","กองทัพที่เจ็ดของเยอรมันที่แข็งแกร่ง 300,000 นายกำลังล่าถอยอย่างเต็มที่",บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350190
350191,Our objective is to cut them off and prevent them from crossing the Rhine and setting up a defensive line ,วัตถุประสงค์ของเราคือตัดพวกเขาออกและป้องกันไม่ให้พวกเขาข้ามแม่น้ำไรน์และตั้งแนวป้องกัน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350191
350192,"British, Canadian and Polish forces are moving in from the north.",กองกำลังอังกฤษ แคนาดา และโปแลนด์เคลื่อนทัพเข้ามาจากทางเหนือ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350192
350193,"US Divisions led by Able company, will seal the pocket from the south.",กองพลของสหรัฐฯ นำโดยกองร้อยเอเบิล จะปิดผนึกวงล้อมจากทางใต้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350193
350194,"Having achieved air superiority, we can strike the retreating German convoys at will.",เมื่อได้รับความเหนือกว่าทางอากาศแล้ว เราก็สามารถโจมตีขบวนรถเยอรมันที่กำลังล่าถอยได้ตามต้องการ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350194
350195,"All of what we have achieved since D-Day now hangs in the balance. If we prevail, the fate of the German army will be sealed and the war for Europe will be won.",ทุกสิ่งที่เราสร้างมาตั้งแต่ดีเดย์ขึ้นอยู่กับศึกครั้งนี้แล้ว หากเราชนะ ชะตากรรมของกองทัพเยอรมันจะถึงจุดจบและเราจะชนะสงครามในยุโรป,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,350195
353006,Alright get that Pershing tank up front and center.  It's got a job to do.,เอาล่ะ นำรถถังเพอร์ชิง ขึ้นมาตรงกลางแนวหน้าเลย มันมีงานใหญ่ต้องทำ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,353006
353008,Tiiiiger!,รถถังไทเกอร์รรร!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,353008
353009,Use our air support!,เรียกกำลังสนับสนุนทางอากาศของเราเร็ว!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,353009
353010,Tiger!  Call in an air strike!,รถถังไทเกอร์! ขอกำลังโจมตีทางอากาศด่วน!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,353010
359020,Destroy Tiger Ace,ทำลายรถถังยอดฝีมือ ไทเกอร์ เอซ (ไทเกอร์ เอซ),บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359020
359021,Destroy %1NUMBER% Axis Vehicles,ทำลายยานพาหนะฝ่ายอักษะ %1NUMBER% คัน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359021
359022,Medal Granted,ได้รับเหรียญรางวัล,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359022
359030,Tiger Ace Shultz and his Tigergruppe are defending this area. Destroy the Tiger Ace.,ยอดฝีมือรถถังไทเกอร์ ชูลทซ์ (ไทเกอร์ เอซ ชูลทซ์) และกองพันไทเกอร์ของเขากำลังป้องกันพื้นที่นี้ จงทำลายรถถังไทเกอร์ เอซซะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359030
359031,The Tiger Ace is being protected by a number of other tanks. Destroy at least %1NUMBER% Axis vehicles.,รถถังไทเกอร์ เอซมีรถถังคันอื่นคอยคุ้มกันอยู่จำนวนหนึ่ง จงทำลายยานพาหนะฝ่ายอักษะอย่างน้อย %1NUMBER% คัน,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359031
359041,Tigergruppen 152,กองพันรถถังไทเกอร์ที่ 152,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359041
359052,Tiger Ace at 70%,ไทเกอร์ เอซ เหลือพลัง 70%,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,359052
